start_date,end_date,StationName,AlternateName,Variable,Units,Latitude,Longitude,RoundLat,RoundLon,Elevation,StationCode,AlternateCode,Dataset,FileName,LocalDirectory,ObsFrequency,TempAggregation,QC,GravityCorr,TemperatureCorr,TotalObs
18410522,18560217,Alfelf,Alfelf,T,C,51.967,9.8,52.0,9.75,66.0,GMM00010442,GMM00010442,GHCNd,GMM00010442,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,hourly,unspecified,"H,,S",,,855
18821029,18991231,Barth,Barth,T,C,54.367,12.733,54.25,12.75,7.0,GMM00010180,GMM00010180,GHCNd,GMM00010180,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,hourly,unspecified,"H,,S",,,1441
18340101,18991231,ElblagMilejewo,ElblagMilejewo,T,C,54.167,19.433,54.25,19.5,43.0,PLM00012160,PLM00012160,GHCNd,PLM00012160,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,hourly,unspecified,"H,,S",,,17715
18510401,18511231,Strachowice,Strachowice,T,C,51.103,16.886,51.0,17.0,123.1,PLM00012424,PLM00012424,GHCNd,PLM00012424,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,hourly,unspecified,"H,,S",,,19893
18501201,18520531,BirrCastleTelegraphic,BirrCastle,T,C,53.09666666666667,-7.917222222222223,53.0,-8.0,52.7,BirrCastle,BirrCastle,ILMMT,Birr Castle telegraphic reporting station_1880-1920/Birr Castle telegraphic reporting station_1921-1956,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ILMMT\Ireland Long-term Maximum and Minimum Air Temperature Dataset (ILMMT)\Long-term series\Birr Castle,"Tmax,Tmin","mean(Tmax,Tmin)",unspecified,,,27305
18501001,18520630,BirrCastleSecondOrder,BirrCastle,T,C,53.1,-7.91666666666667,53.0,-8.0,55.5,BirrCastle,BirrCastle,ILMMT,Birr Castle second order station_1872-1911,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ILMMT\Ireland Long-term Maximum and Minimum Air Temperature Dataset (ILMMT)\Long-term series\Birr Castle,"Tmax,Tmin","mean(Tmax,Tmin)",unspecified,,,14209
18800101,18991231,Freiburg,Freiburg,T,C,48.0241666666667,7.835277778,48.0,7.75,236.0,122460/GER0053,4114/GER0053,ECA&D/EEAR-Clim,TG_SOUID_122460/GER0053_237_7.834_48.023_18740101-20201231,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ECA&D\ECA_nonblend_tg/C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\EEAR-Clim\DWD\DWD,"[unspecified]/[Tmax,Tmin]","[ TG3]/[unspecified/mean(Tmax,Tmin)]","[unspecified]/[Bongiovanni et al., 2025]",,,44990
18720501,18991231,FreiburgCIVFAFB,FreiburgCIVFAFB,T,C,48.0,7.85,48.0,7.75,269.0,GMM00010803,GMM00010803,GHCNd,GMM00010803,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,hourly,unspecified,"H,,S",,,17269
18841001,18990924,FeldbergSchwarzwald,FeldbergSchwarzwald,T,C,47.8756,8.0044,48.0,8.0,1490.0,GME00120934,GME00120934,GHCNd,GME00120934,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,hourly,unspecified,"H,,S",,,12365
18990925,18991231,TrierPetrisberg,TrierPetrisberg,T,C,49.7492,6.6592,49.75,6.75,265.0,GME00111474,GME00111474,GHCNd,GME00111474,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,hourly,unspecified,"H,,S",,,17670
18740101,18991231,SzczecinECAD,Szczecin,T,C,53.39527777777778,14.622777777777777,53.5,14.5,1.0,100653,208,ECA&D,TG_SOUID_100653,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ECA&D\ECA_nonblend_tg,>=3x daily, TG7,unspecified,,,27394
18930101,18991231,Kaunas,Kaunas,T,C,54.88305555555556,23.83305556,55.0,23.75,77.0,LH000026629/100621,LH000026629/200,GHCNd/ECA&D,LH000026629/TG_SOUID_100621,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest/C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ECA&D\ECA_nonblend_tg,[hourly/unspecified]/[unspecified],unspecified,"[,,r/H,,S]/[unspecified]",,,38335
18930601,18991231,KolguevSevernyi,KolguevSevernyi,T,C,69.5330555555555,49.08305556,69.5,49.0,23.0,148038,8058,ECA&D,TG_SOUID_148038,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\ECA&D\ECA_nonblend_tg,unspecified, TG1,unspecified,,,29857
18861101,18991231,Samtredia,Samtredia,T,C,42.1831,42.3667,42.25,42.25,26.0,GG000037385,GG000037385,GHCNd,GG000037385,C:\Users\Conall\Desktop\Conall - WCR\Historical Observations\Online Databases\GHCNd\daily-summaries-latest,hourly/unspecified,unspecified,",,r/H,,S",,,20882
